$C:\ProgramData\Zwick\testXpert III\data\Test Method\compression test RT_Copper_20012025.zs2
Pre-load                                25 N
Test speed                              1 mm/min
Type of compression modulus determinatioRegression
$
  Compressive strain;      Standard force;Absolute crosshead t
  0.000000000000e+00;  3.416891479492e+01; -7.637387525014e+01
  5.217960961090e-07;  3.423942947388e+01; -7.637387472834e+01
  5.231584623289e-07;  3.406278610229e+01; -7.637387472698e+01
  1.049041770784e-06;  3.394315719604e+01; -7.637387420109e+01
  6.676946213702e-05;  3.457857131958e+01; -7.637380848067e+01
  2.255998406326e-04;  3.566938018799e+01; -7.637364965029e+01
  3.778770915233e-04;  3.683526992798e+01; -7.637349737304e+01
  5.174487014301e-04;  3.804170989990e+01; -7.637335780143e+01
  6.710079615004e-04;  3.910559082031e+01; -7.637320424217e+01
  8.433192269877e-04;  4.028764343262e+01; -7.637303193091e+01
  1.038376940414e-03;  4.145514678955e+01; -7.637283687319e+01
  1.247776555829e-03;  4.275120162964e+01; -7.637262747358e+01
  1.419422915205e-03;  4.375755691528e+01; -7.637245582722e+01
  1.604398945346e-03;  4.479055786133e+01; -7.637227085119e+01
  1.801699283533e-03;  4.595171356201e+01; -7.637207355085e+01
  2.010093303397e-03;  4.705618667603e+01; -7.637186515683e+01
  2.228311728686e-03;  4.846152877808e+01; -7.637164693841e+01
  2.454008441418e-03;  4.973770523071e+01; -7.637142124169e+01
  2.618936821818e-03;  5.074660110474e+01; -7.637125631331e+01
  2.860717708245e-03;  5.213334655762e+01; -7.637101453243e+01
  3.112687962130e-03;  5.341643142700e+01; -7.637076256217e+01
  3.361840965226e-03;  5.465527725220e+01; -7.637051340917e+01
  3.609632840380e-03;  5.586363220215e+01; -7.637026561729e+01
  3.863479010761e-03;  5.696165847778e+01; -7.637001177112e+01
  4.111513495445e-03;  5.800408554077e+01; -7.636976373664e+01
  4.358696285635e-03;  5.902041625977e+01; -7.636951655385e+01
  4.609354771674e-03;  6.008178329468e+01; -7.636926589536e+01
