$C:\ProgramData\Zwick\testXpert III\data\Test Method\compression test RT_Copper_20012025.zs2
Pre-load                                25 N
Test speed                              1 mm/min
Type of compression modulus determinatioRegression
$
  Compressive strain;      Standard force;Absolute crosshead t
  0.000000000000e+00;  3.115008354187e+01; -7.630399102620e+01
 -1.212528815131e-07;  3.111399459839e+01; -7.630399114745e+01
  2.329690147462e-07;  3.110565948486e+01; -7.630399079323e+01
  6.907326906003e-07;  3.103540420532e+01; -7.630399033546e+01
  7.417951565003e-05;  3.158294487000e+01; -7.630391684668e+01
  2.592808741610e-04;  3.283105468750e+01; -7.630373174532e+01
  3.646278346423e-04;  3.387064743042e+01; -7.630362639836e+01
  5.016544600949e-04;  3.509208297729e+01; -7.630348937174e+01
  6.953048869036e-04;  3.628953933716e+01; -7.630329572131e+01
  8.698354358785e-04;  3.735079574585e+01; -7.630312119076e+01
  1.069735153578e-03;  3.843051147461e+01; -7.630292129104e+01
  1.283358200453e-03;  3.951169204712e+01; -7.630270766800e+01
  1.517602358945e-03;  4.058443832397e+01; -7.630247342384e+01
  1.773549476638e-03;  4.173383331299e+01; -7.630221747672e+01
  2.054620534182e-03;  4.301617050171e+01; -7.630193640566e+01
  2.275303471833e-03;  4.410921096802e+01; -7.630171572273e+01
  2.505359705538e-03;  4.515983963013e+01; -7.630148566649e+01
  2.748686820269e-03;  4.630958557129e+01; -7.630124233938e+01
  3.080680035055e-03;  4.768926620483e+01; -7.630091034616e+01
  3.329670755193e-03;  4.879634475708e+01; -7.630066135544e+01
  3.576899878681e-03;  4.996419525146e+01; -7.630041412632e+01
  3.826990025118e-03;  5.110268402100e+01; -7.630016403617e+01
  4.080004058778e-03;  5.214983749390e+01; -7.629991102214e+01
  4.408732987940e-03;  5.339898681641e+01; -7.629958229321e+01
  4.742979537696e-03;  5.468694305420e+01; -7.629924804666e+01
  5.077370442450e-03;  5.583535003662e+01; -7.629891365575e+01
  5.416754167527e-03;  5.690401840210e+01; -7.629857427203e+01
  5.831394344568e-03;  5.798930358887e+01; -7.629815963185e+01
  6.493335589767e-03;  5.906693649292e+01; -7.629749769061e+01
  7.330457214266e-03;  5.972351455688e+01; -7.629666056898e+01
  8.160946890712e-03;  5.996912384033e+01; -7.629583007931e+01
  8.996992371976e-03;  6.021195983887e+01; -7.629499403383e+01
  9.826431050897e-03;  6.013164520264e+01; -7.629416459515e+01
  1.066136360168e-02;  6.027983474731e+01; -7.629332966260e+01
  1.149446517229e-02;  6.026403427124e+01; -7.629249656102e+01
  1.233334839344e-02;  6.025046539307e+01; -7.629165767780e+01
  1.316073443741e-02;  6.032323074341e+01; -7.629083029176e+01
  1.399789378047e-02;  6.023910140991e+01; -7.628999313242e+01
  1.482622139156e-02;  6.036819076538e+01; -7.628916480481e+01
  1.565786078572e-02;  6.031344985962e+01; -7.628833316541e+01
  1.649218425155e-02;  6.021148300171e+01; -7.628749884195e+01
  1.732434518635e-02;  6.034932708740e+01; -7.628666668101e+01
  1.815822720528e-02;  6.039044952393e+01; -7.628583279899e+01
  1.899289898574e-02;  6.034869766235e+01; -7.628499812721e+01
  1.982772164047e-02;  6.035478973389e+01; -7.628416330456e+01
  2.065848000348e-02;  6.043935775757e+01; -7.628333254619e+01
  2.149436622858e-02;  6.039427566528e+01; -7.628249665997e+01
  2.232683636248e-02;  6.043343353271e+01; -7.628166418983e+01
  2.316293492913e-02;  6.045742797852e+01; -7.628082809127e+01
  2.399571798742e-02;  6.060459518433e+01; -7.627999530821e+01
  2.482799068093e-02;  6.042139053345e+01; -7.627916303552e+01
  2.565899491310e-02;  6.037559890747e+01; -7.627833203128e+01
  2.649801596999e-02;  6.053485107422e+01; -7.627749301023e+01
  2.732469886541e-02;  6.036838150024e+01; -7.627666632733e+01
  2.816195785999e-02;  6.057458496094e+01; -7.627582906834e+01
  2.899606339633e-02;  6.032318496704e+01; -7.627499496280e+01
  2.982815541327e-02;  6.022208023071e+01; -7.627416287078e+01
  3.066032193601e-02;  6.017960357666e+01; -7.627333070426e+01
  3.149201720953e-02;  6.025719070435e+01; -7.627249900899e+01
  3.232523426414e-02;  6.022804641724e+01; -7.627166579193e+01
  3.315790742636e-02;  6.021058273315e+01; -7.627083311877e+01
  3.399476781487e-02;  6.037802886963e+01; -7.626999625838e+01
  3.482671454549e-02;  6.048867416382e+01; -7.626916431165e+01
  3.566057235003e-02;  6.061061477661e+01; -7.626833045385e+01
  3.649558871984e-02;  6.053129196167e+01; -7.626749543748e+01
  3.732697293162e-02;  6.067026901245e+01; -7.626666405327e+01
  3.816169127822e-02;  6.092515182495e+01; -7.626582933492e+01
  3.899535164237e-02;  6.091666793823e+01; -7.626499567455e+01
  3.982979804277e-02;  6.092716979980e+01; -7.626416122815e+01
  4.066475853324e-02;  6.111140060425e+01; -7.626332626766e+01
