Deformation,      Standard force,       Bending angle,Absolute crosshead t
0.000000000000e+00,  1.200346946716e+01,  0.000000000000e+00, -1.826861343207e+02
-5.967276592855e-07,  1.224543571472e+01, -1.519554507553e-06, -1.826861349174e+02
-1.869201696536e-06,  1.203932094574e+01, -4.759882987527e-06, -1.826861361899e+02
-2.572195853645e-06,  1.209353542328e+01, -6.550042859482e-06, -1.826861368929e+02
2.369199501118e-05,  1.214911365509e+01,  6.033117799185e-05, -1.826861106287e+02
6.467301282100e-04,  1.268890380859e+01,  1.646890796393e-03, -1.826854875905e+02
1.478182966821e-03,  1.300008964539e+01,  3.764193612808e-03, -1.826846561377e+02
2.644198248163e-03,  1.359598159790e+01,  6.733496653358e-03, -1.826834901224e+02
4.144696053118e-03,  1.434898376465e+01,  1.055463023866e-02, -1.826819896246e+02
5.973652470857e-03,  1.524544048309e+01,  1.521229709971e-02, -1.826801606682e+02
7.677150424570e-03,  1.625127601624e+01,  1.955055524527e-02, -1.826784571702e+02
9.843843989074e-03,  1.731822013855e+01,  2.506854396799e-02, -1.826762904767e+02
1.172184664756e-02,  1.839516067505e+01,  2.985142399603e-02, -1.826744124740e+02
1.345895510167e-02,  1.944538497925e+01,  3.427556671015e-02, -1.826726753656e+02
1.531441509724e-02,  2.045681571960e+01,  3.900122856282e-02, -1.826708199056e+02
1.728378608823e-02,  2.161786270142e+01,  4.401711860711e-02, -1.826688505346e+02
1.928545348346e-02,  2.277047729492e+01,  4.911538083277e-02, -1.826668488672e+02
2.095538191497e-02,  2.382625770569e+01,  5.336878994828e-02, -1.826651789388e+02
2.295678667724e-02,  2.492823600769e+01,  5.846659554787e-02, -1.826631775340e+02
2.462322637439e-02,  2.593663597107e+01,  6.271129530780e-02, -1.826615110943e+02
2.628887817264e-02,  2.694966316223e+01,  6.695406831596e-02, -1.826598454425e+02
2.828899584711e-02,  2.797780609131e+01,  7.204890365637e-02, -1.826578453248e+02
2.994705922902e-02,  2.897990608215e+01,  7.627252269807e-02, -1.826561872614e+02
3.194554522634e-02,  3.011571693420e+01,  8.136341279740e-02, -1.826541887754e+02
3.394384682178e-02,  3.113177680969e+01,  8.645394846168e-02, -1.826521904738e+02
3.594932705164e-02,  3.233254623413e+01,  9.156288711237e-02, -1.826501849936e+02
3.794940933585e-02,  3.347633743286e+01,  9.665819019328e-02, -1.826481849113e+02
3.993794694543e-02,  3.464151000977e+01,  1.017241971470e-01, -1.826461963737e+02
4.160752519965e-02,  3.578372955322e+01,  1.059777100146e-01, -1.826445267955e+02
4.327681288123e-02,  3.682500839233e+01,  1.102305630265e-01, -1.826428575078e+02
4.494563117623e-02,  3.782995605469e+01,  1.144823005554e-01, -1.826411886895e+02
4.694761335850e-02,  3.895957946777e+01,  1.195829635415e-01, -1.826391867073e+02
4.861413687468e-02,  4.004075241089e+01,  1.238290309893e-01, -1.826375201838e+02
5.062646791339e-02,  4.119422149658e+01,  1.289562741340e-01, -1.826355078528e+02
5.294777825475e-02,  4.234263610840e+01,  1.348709145531e-01, -1.826331865424e+02
5.462111532688e-02,  4.337295913696e+01,  1.391346317606e-01, -1.826315132053e+02
5.628438293934e-02,  4.441683197021e+01,  1.433727716818e-01, -1.826298499377e+02
5.861117690802e-02,  4.553858947754e+01,  1.493017640918e-01, -1.826275231438e+02
6.061087176204e-02,  4.662293243408e+01,  1.543973875062e-01, -1.826255234489e+02
6.261748075485e-02,  4.781252670288e+01,  1.595107454158e-01, -1.826235168399e+02
6.495314091444e-02,  4.899144744873e+01,  1.654627568552e-01, -1.826211811798e+02
6.661669909954e-02,  4.999961853027e+01,  1.697021327131e-01, -1.826195176216e+02
6.827914714813e-02,  5.103353118896e+01,  1.739387592025e-01, -1.826178551735e+02
7.028146088123e-02,  5.223972320557e+01,  1.790416141067e-01, -1.826158528598e+02
7.195190340281e-02,  5.328808975220e+01,  1.832987905233e-01, -1.826141824173e+02
7.363909482956e-02,  5.439409255981e+01,  1.875987336737e-01, -1.826124952258e+02
7.561874389648e-02,  5.555503082275e+01,  1.926441332254e-01, -1.826105155768e+02
7.761856168509e-02,  5.666108703613e+01,  1.977410500784e-01, -1.826085157590e+02
7.961940020323e-02,  5.773960113525e+01,  2.028406837375e-01, -1.826065149205e+02
8.161494880915e-02,  5.891826248169e+01,  2.079269495847e-01, -1.826045193719e+02
8.362124115229e-02,  6.011347579956e+01,  2.130407147376e-01, -1.826025130795e+02
8.528975397348e-02,  6.113744735718e+01,  2.172936143014e-01, -1.826008445667e+02
8.728189021349e-02,  6.224963760376e+01,  2.223715078619e-01, -1.825988524305e+02
8.928132057190e-02,  6.339679336548e+01,  2.274681087842e-01, -1.825968530001e+02
9.127909690142e-02,  6.455550384521e+01,  2.325606084779e-01, -1.825948552238e+02
9.328216314316e-02,  6.578633117676e+01,  2.376667079338e-01, -1.825928521575e+02
9.495495259762e-02,  6.683892059326e+01,  2.419309735789e-01, -1.825911793681e+02
9.661157429218e-02,  6.784304046631e+01,  2.461541038206e-01, -1.825895227464e+02
9.861353039742e-02,  6.895586395264e+01,  2.512576805554e-01, -1.825875207903e+02
1.006155312061e-01,  7.009241485596e+01,  2.563614865671e-01, -1.825855187895e+02
1.022831350565e-01,  7.117224121094e+01,  2.606128848396e-01, -1.825838511856e+02
1.039533168077e-01,  7.220252990723e+01,  2.648709354067e-01, -1.825821810039e+02
1.059521436691e-01,  7.330855560303e+01,  2.699669568414e-01, -1.825801821770e+02
1.079568117857e-01,  7.445531463623e+01,  2.750779860016e-01, -1.825781775089e+02
1.096279099584e-01,  7.551853179932e+01,  2.793386456461e-01, -1.825765064107e+02
1.116208136082e-01,  7.667841339111e+01,  2.844198908592e-01, -1.825745135071e+02
1.136162877083e-01,  7.790464019775e+01,  2.895078042818e-01, -1.825725180330e+02
1.152799874544e-01,  7.890504455566e+01,  2.937498713105e-01, -1.825708543332e+02
1.169479787350e-01,  7.992864990234e+01,  2.980029606775e-01, -1.825691863419e+02
1.186151579022e-01,  8.098497009277e+01,  3.022540592063e-01, -1.825675191628e+02
1.202810853720e-01,  8.198669433594e+01,  3.065020458564e-01, -1.825658532353e+02
1.219577565789e-01,  8.303037261963e+01,  3.107775087382e-01, -1.825641765641e+02
1.236205250025e-01,  8.403762054443e+01,  3.150175997055e-01, -1.825625137957e+02
1.252787113190e-01,  8.504310607910e+01,  3.192460853251e-01, -1.825608556093e+02
