Machine name,Method,XDistanceToStartpoint,YDistanceToStartpoint,Hardness
,"HV 0,5",0.0,0.0,228.0
,"HV 0,5",1.999,0.0,206.0
,"HV 0,5",3.999,-0.001,176.0
,"HV 0,5",5.999,0.0,194.0
,"HV 0,5",6.999,0.0,169.0
,"HV 0,5",8.999,-0.001,171.0
,"HV 0,5",11.175,0.067,200.0
,"HV 0,5",13.174,0.065,175.0
,"HV 0,5",15.174,0.064,177.0
,"HV 0,5",17.174,0.063,219.0
,"HV 0,5",19.174,0.062,202.0
,"HV 0,5",21.174,0.061,186.0
,"HV 0,5",23.174,0.06,190.0
,"HV 0,5",25.174,0.06,146.0
,"HV 0,5",27.174,0.058,184.0
,"HV 0,5",29.174,0.058,170.0
